title,company,location,category,created,contract_time,contract_type,salary_min,salary_max,description,redirect_url
Principal Data Scientist,"InVitro Cell Research, LLC","Fort Lee, Bergen County",IT Jobs,2025-05-08T22:40:00Z,,,148651.92,148651.92,"We're hiring a Principal Data Scientist with expertise in predictive statistics (analytics and modeling, especially as applied to diagnostics), bioinformatics and machine learning. Because you will be working with medical and biological datasets, a background in biomedical sciences is required. Fluency in R and Python is definitely preferred. Please notice that this is not a financial-sector job . However, if you're looking for a challenging, deeply rewarding position applying advanced data ana…",https://www.adzuna.com/land/ad/5189656582?se=kvlrmpQy8BGQSMYcPncHCQ&utm_medium=api&utm_source=cf71b380&v=AADFF5382B0D96DB219C0AD0726D67FBA341A4C7
Senior Data Scientist,"InVitro Cell Research, LLC","Fort Lee, Bergen County",Scientific & QA Jobs,2025-05-07T22:42:26Z,,,128836.72,128836.72,"We're hiring Senior Data Scientists with expertise in integrating and analyzing multi-omic datasets to identify diagnostic disease signatures and find actionable targets for drug development. These scientists would work in ICR's Translational Bioinformatics Group, focusing on rare and hard-to-diagnose diseases. Strong programming and statistics backgrounds are required, and machine learning experience is preferred. With ICR, you'll get to: Perform high-impact, high-reward rare and hard-to-diagn…",https://www.adzuna.com/land/ad/5187677708?se=kvlrmpQy8BGQSMYcPncHCQ&utm_medium=api&utm_source=cf71b380&v=A3A21BF42ED3605A4CAFFDCFBD858B9A2468BDBD
Data Scientist,Keller Executive Search,"New York City, New York",IT Jobs,2025-04-02T11:52:00Z,full_time,permanent,108000,156000,"Keller Executive Search is currently looking for a talented Data Scientist to join their dynamic team. In this role, you will harness the power of data to derive insights and support key business decisions across a range of strategic initiatives. You will be responsible for utilizing advanced statistical methods, machine learning algorithms, and data visualization techniques to tackle complex data challenges. Your work will involve working with large datasets, conducting analyses, and presentin…",https://www.adzuna.com/details/5124431625?utm_medium=api&utm_source=cf71b380
Data Scientist,Applied Physics,"New York City, New York",IT Jobs,2024-03-29T03:00:51Z,full_time,,120992.01,120992.01,"Applied Physics is seeking a Data Scientist experienced with a diverse array of data types to join our dynamic and multidisciplinary team of independent and entrepreneurial computer scientists and engineers. In this role, you will collaborate with scientists and researchers in various areas, including data analysis, compression, text processing, graph analysis, machine learning, information visualization, as well as others. Responsibilities: Collaborate with scientists and researchers in variou…",https://www.adzuna.com/details/4627655590?utm_medium=api&utm_source=cf71b380
Data Scientist,TekWissen LLC,"Grand Central, Manhattan",IT Jobs,2025-05-13T07:59:11Z,,,129209,209976,"Overview: TekWissen is a global workforce management provider headquartered in Ann Arbor, Michigan that offers strategic talent solutions to our clients world-wide. Our client is a media and entertainment company that develops, produces, and markets entertainment, news, and information. It owns and operates a portfolio of news and entertainment television networks, a motion picture company, television production operations, a television stations group, theme parks, and a suite of Internet-based…",https://www.adzuna.com/details/5196305015?utm_medium=api&utm_source=cf71b380
$300/60min Paid Market Research Study for AI Data Scientist in the IT Sector,Ivy Exec,"Grand Central, Manhattan",IT Jobs,2025-03-31T23:54:42Z,,,101378.28,101378.28,"Market research studies are paid engagements Ivy Exec conducts with clients to get feedback on certain topics. For this study we are looking for AI, Machine Learning, and Data Professionals who recently had a job change or are seeking for new opportunities to talk about their experience. Participation requirements Job title: AI Software Engineer, AI Research Engineer, AI Researcher, AI Research Scientist, AI Applied Researcher, AI Student Researcher, AI Post Doc, AI Data Scientist, AI Data Scie…",https://www.adzuna.com/land/ad/5120743734?se=kvlrmpQy8BGQSMYcPncHCQ&utm_medium=api&utm_source=cf71b380&v=7334FC0B9DCFBDAAC2186296AFBE29E2F73D9BDA
Data Scientist,Forhyre,"Chelsea and Clinton, Manhattan",IT Jobs,2022-06-20T12:08:32Z,,,80000,150000,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analy…",https://www.adzuna.com/details/3244309664?utm_medium=api&utm_source=cf71b380
Data Scientist,Forhyre,"New York City, New York",IT Jobs,2022-12-17T14:29:06Z,,,90000,150000,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analy…",https://www.adzuna.com/details/3782931117?utm_medium=api&utm_source=cf71b380
Data Scientist,Everytown for Gun Safety Support Fund,"Grand Central, Manhattan",Scientific & QA Jobs,2025-04-04T20:10:20Z,full_time,,85000,95000,"Everytown for Gun Safety, the nation’s largest gun violence prevention advocacy group, is seeking a Data Scientist. The Everytown Research Department studies how gun violence occurs in America and identifies the best policies and interventions to prevent and address it. In this role, the Data Scientist will need to understand and communicate about the various types of gun violence, who it impacts, and how it impacts different communities and populations differently. You must be committed to add…",https://www.adzuna.com/details/5130263909?utm_medium=api&utm_source=cf71b380
Data Scientist,Meta,"Grand Central, Manhattan",IT Jobs,2025-03-26T10:44:45Z,,,116815.62,116815.62,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",https://www.adzuna.com/details/5112196479?utm_medium=api&utm_source=cf71b380
